datetime,open,high,low,close,volume
2012-12-03,929.21,929.21,871.28,876.02,79372
2012-12-04,854.51,875.15,837.02,862.56,78705
2012-12-05,851.56,877.39,828.01,861.28,111704
2012-12-06,859.45,862.77,808.79,851.18,117562
2012-12-07,862.73,886.4,861.03,870.2,99501
2012-12-11,869.0,908.45,869.0,884.82,92233
2012-12-12,895.99,925.02,885.61,924.48,64325
2012-12-13,916.3,937.44,896.41,898.9,61996
2012-12-14,887.69,914.68,869.0,908.12,78926
2012-12-17,900.15,931.95,883.53,921.28,71361
2012-12-18,921.78,944.91,921.61,935.57,46945
2012-12-19,929.75,962.44,929.26,956.0,47570
2012-12-20,952.05,959.94,939.97,951.64,34434
2012-12-21,948.69,954.13,940.97,944.16,25093
2012-12-24,925.1,925.1,875.23,894.25,100051
2012-12-25,887.27,903.76,880.3,894.83,59534
2012-12-26,890.93,903.47,886.48,897.03,44866
2012-12-27,897.24,914.68,890.76,906.71,60926
2012-12-28,906.79,939.93,906.79,926.31,56589
2012-12-31,930.5,936.69,901.6,912.69,51915
2013-01-04,925.06,925.06,895.99,904.05,58370
2013-01-07,899.65,899.65,885.61,893.04,41271
2013-01-08,888.43,920.29,888.43,920.24,65287
2013-01-09,922.99,948.52,922.99,943.54,53749
2013-01-10,939.93,945.83,929.21,935.44,30528
2013-01-11,932.2,938.14,916.26,921.99,37010
2013-01-14,910.53,918.0,886.9,914.35,68184
2013-01-15,911.73,925.48,903.55,920.29,52635
2013-01-16,895.99,903.47,890.51,900.15,69502
2013-01-17,895.95,907.12,894.0,896.53,36202
2013-01-18,900.77,902.14,875.69,890.84,55318
2013-01-21,886.86,886.86,859.86,864.06,74779
2013-01-22,857.83,874.11,829.55,870.37,73815
2013-01-23,858.62,873.19,849.48,870.99,51014
2013-01-24,866.51,875.64,853.63,858.45,59474
2013-01-25,829.55,841.18,817.51,829.76,80008
2013-01-28,817.09,824.57,783.87,785.95,158291
2013-01-29,775.56,792.13,758.95,784.53,115448
2013-01-30,779.92,802.51,778.39,792.67,71377
2013-01-31,797.16,799.65,782.91,787.61,37816
2013-02-01,787.52,799.52,783.99,787.94,45266
2013-02-04,792.17,796.12,767.26,771.95,64964
2013-02-05,771.2,810.86,766.43,810.57,87825
2013-02-06,812.85,813.23,800.48,808.49,46195
2013-02-07,804.63,819.37,797.66,813.64,48568
2013-02-08,813.56,827.06,810.03,824.81,41573
2013-02-18,826.64,826.64,788.02,790.89,56570
2013-02-19,787.94,794.62,778.89,783.54,37738
2013-02-20,779.72,792.09,771.49,783.45,36582
2013-02-21,772.37,813.77,771.62,792.26,53833
2013-02-22,796.33,819.58,796.33,815.39,62864
2013-02-25,808.79,814.39,793.25,796.7,34549
2013-02-26,795.08,808.79,781.09,781.25,43755
2013-02-27,778.1,786.78,773.74,778.76,34158
2013-02-28,783.04,783.04,758.95,771.41,56786
2013-03-01,768.5,775.4,763.06,766.51,38003
2013-03-04,766.1,778.14,766.1,770.25,52073
2013-03-05,773.15,777.47,766.68,771.41,36975
2013-03-06,775.56,780.96,765.8,780.63,49227
2013-03-07,789.6,827.89,789.35,808.2,85191
2013-03-08,817.13,823.32,807.41,809.33,35960
2013-03-11,807.95,815.01,799.69,813.77,34965
2013-03-12,817.09,817.51,792.17,801.23,25394
2013-03-13,802.14,817.17,802.14,808.08,30770
2013-03-14,802.56,811.98,786.61,787.77,35124
2013-03-15,781.88,795.08,771.83,779.59,35961
2013-03-18,779.3,779.3,743.13,748.36,78232
2013-03-19,743.17,749.9,727.85,730.63,63414
2013-03-20,730.96,753.1,726.15,750.27,71895
2013-03-21,748.57,748.57,733.21,737.28,65393
2013-03-22,736.03,750.23,732.83,746.7,45579
2013-03-25,746.49,753.84,742.76,746.62,31966
2013-03-26,746.91,755.67,744.04,750.15,32480
2013-03-27,750.69,752.31,731.54,737.32,47662
2013-03-28,734.37,743.09,718.71,737.44,41491
2013-03-29,739.23,748.86,734.12,745.91,47717
2013-04-01,742.72,744.25,728.14,729.68,29129
2013-04-02,730.3,733.91,722.7,724.53,32525
2013-04-03,724.4,729.88,722.33,725.11,21991
2013-04-08,718.01,729.88,710.99,727.06,37733
